Current Region,voters,supporters,precinct_count
R01 - Inner Nova,294111,235474,86
R02 - Fairfax,584548,390511,191
R03 - Loudoun,474956,243017,168
R04 - Prince William,584204,356381,190
R05 - Fredericksburg,397468,146999,152
R06 - North Richmond,384866,219354,152
R07 - South Richmond,393916,231353,129
R08 - Newport News,309852,182712,95
R09 - Suffolk,404216,203089,167
R10 - Virginia Beach / Norfolk,494484,253035,170
R11 - Southside,318646,128024,172
R12 - Shenandoah,583753,166371,261
R13 - Southwest,802491,172435,482
R14 - Charlottesville,272458,128793,125
